cik,fyear,status_label,3_current_assets,3_total_assets,3_cost_of_goods_sold,3_total_long_term_debt,3_depreciation_and_amortization,3_ebit,3_ebitda,3_gross_profit,3_inventory,3_total_current_liabilities,3_net_income,3_retained_earnings,3_total_receivables,3_total_revenue,3_market_value,3_total_liabilities,3_net_sales,3_total_operating_expenses,2_current_assets,2_total_assets,2_cost_of_goods_sold,2_total_long_term_debt,2_depreciation_and_amortization,2_ebit,2_ebitda,2_gross_profit,2_inventory,2_total_current_liabilities,2_net_income,2_retained_earnings,2_total_receivables,2_total_revenue,2_market_value,2_total_liabilities,2_net_sales,2_total_operating_expenses,1_current_assets,1_total_assets,1_cost_of_goods_sold,1_total_long_term_debt,1_depreciation_and_amortization,1_ebit,1_ebitda,1_gross_profit,1_inventory,1_total_current_liabilities,1_net_income,1_retained_earnings,1_total_receivables,1_total_revenue,1_market_value,1_total_liabilities,1_net_sales,1_total_operating_expenses
C1,2007,alive,581.502,1288.165,267.81,300.0,46.338,-5.522,40.816,454.615,125.963,198.375,-13.581,-95.949,130.246,722.425,882.4491,557.038,722.425,681.6089999999998,353.541,927.239,229.115,0.0,42.87300000000001,96.041,138.914,424.713,106.958,155.57299999999995,82.544,-89.73700000000002,107.847,653.828,1038.6859,203.24,653.828,514.914,1037.047,1623.3829999999994,150.257,0.017,67.10600000000001,95.995,163.101,403.36,92.741,665.257,133.769,-175.285,90.898,553.617,1541.7638,705.305,553.617,390.516
C2,2010,failed,6838.0,25088.0,18138.0,9253.0,995.0,308.0,1303.0,4032.0,594.0,8780.0,-471.0,-8362.0,738.0,22170.0,2597.5755,29033.0,22170.0,20867.0,6642.0,25438.0,16935.0,10583.0,1007.0,-745.0,262.0,2982.0,557.0,7728.0,-1468.0,-7860.0,768.0,19917.0,2571.1835,28927.0,19917.0,19655.0,5935.0,25175.0,20232.0,9001.0,1083.0,-573.0,510.0,3534.0,525.0,9374.0,-2071.0,-6638.0,811.0,23766.0,2976.3858,28110.0,23766.0,23256.0
C3,2006,alive,328.3540000000001,638.0219999999998,275.636,3.5580000000000003,30.469,47.473,77.942,276.21,133.42,119.215,26.959,95.273,120.296,551.846,878.4009,150.352,551.846,473.904,262.803,589.849,229.243,4.19,24.412,38.17,62.582,234.128,118.906,101.054,17.041,63.86600000000001,101.317,463.371,626.7576,145.869,463.371,400.789,327.48,551.391,207.283,5.505,21.856,40.255,62.111,206.818,94.617,89.615,12.147,49.192,97.031,414.101,1060.6898,124.294,414.101,351.99
C4,2010,alive,9.513,26.228,18.932,5.7,0.337,-2.714,-2.377,7.226,2.359,5.95,-2.319,3.603,4.005,26.158,8.5651,13.347,26.158,28.535,8.726,40.952,13.048,5.94,0.39,-4.269,-3.879,5.513999999999999,1.4240000000000002,5.195,-1.885,6.07,4.408,18.562,12.4988,25.762,18.562,22.441,10.602,43.645,10.115,19.221,0.821,-4.126,-3.305,6.341,1.063,3.571,-4.587,8.57,3.133,16.456,8.3439,26.106,16.456,19.761
C5,2001,alive,90.747,576.841,206.582,1.493,18.326,-26.051,-7.725,-7.725,0.0,324.738,45.535,173.273,42.607,198.857,616.49,353.836,198.857,206.582,97.295,667.307,205.457,385.439,15.448,3.659,19.107,19.107,0.0,82.18700000000003,148.9,127.738,60.742,224.564,315.171,491.327,224.564,205.457,103.896,528.436,242.423,403.761,14.181,21.584,35.765,35.765,0.0,82.19200000000002,6.59,-20.463,61.133,278.188,633.7406,501.147,278.188,242.423
C6,2012,alive,15.73,23.324,18.64,4.414,0.545,1.778,2.323,12.380999999999998,8.195,6.646,2.522,7.007999999999999,5.452999999999999,31.021,15.4674,11.284,31.021,28.698,17.553,23.035,20.732,4.2780000000000005,0.541,1.341,1.882,8.875,6.7929999999999975,9.307,0.392,4.4860000000000015,5.19,29.607,12.7426,13.62,29.607,27.725,18.259,23.678,20.179,4.985,0.502,1.871,2.373,9.439,7.362999999999999,9.763,0.625,4.093999999999999,4.6530000000000005,29.618,13.3839,14.843,29.618,27.245
C7,2007,alive,3.908,13.553,7.695,16.198,1.636,-4.1110000000000015,-2.475,6.9220000000000015,0.165,6.001,-11.813,-164.076,1.472,14.617,1.4015,22.199,14.617,17.092,3.15,22.07800000000001,7.495,13.896,1.652,-3.89,-2.238,7.949,0.2319999999999999,5.437,-7.58,-151.69899999999996,1.815,15.444,8.0137,19.333,15.444,17.682000000000006,3.735,28.847,6.676,12.941,1.411,-2.531,-1.12,7.414,0.247,6.334,-0.501,-144.034,2.045,14.09,3.3437,19.275,14.09,15.21
C8,2002,alive,646.811,1879.086,2729.591,370.091,188.356,63.987,252.343,614.145,36.223,403.381,14.843,538.55,170.507,3343.736,718.1131,1039.923,3343.736,3091.393,451.707,1746.844,2672.13,218.053,208.355,-22.431,185.924,538.9590000000002,38.413,470.73800000000006,-19.458,537.724,153.201,3211.0890000000004,713.8421,912.628,3211.0890000000004,3025.165,373.549,1745.919,2686.265,322.23,206.406,42.618,249.024,589.685,43.231,335.797,28.492,567.564,240.28,3275.95,468.3413,883.064,3275.95,3026.926
C9,2010,alive,804.1039999999997,1878.275,734.5010000000003,150.241,26.658,235.342,262.0,863.9630000000003,171.30599999999995,283.4240000000001,155.31,832.605,283.183,1598.464,3720.1965,551.035,1598.464,1336.464,865.628,1558.014,675.5369999999998,0.429,23.241,192.874,216.115,758.443,126.777,275.824,119.374,733.757,228.979,1433.98,2719.8922,356.592,1433.98,1217.865,880.38,1464.19,681.377,0.6829999999999999,22.498,168.52599999999995,191.024,762.079,149.512,282.0,228.154,665.355,244.316,1443.456,2665.7881,347.8590000000001,1443.456,1252.432
C10,2005,alive,4355.0,17871.0,27891.0,6278.0,1147.0,1238.0,2385.0,12467.0,3036.0,3880.0,446.0,5215.0,723.0,40358.0,9305.5,12164.0,40358.0,37973.0,4295.0,18311.0,27610.0,6649.0,1101.0,1518.0,2619.0,12287.0,3119.0,4085.0,444.0,4987.0,675.0,39897.0,8419.84,12890.0,39897.0,37278.0,4419.0,15394.0,24337.0,4804.0,969.0,1272.0,2241.0,11099.0,3035.0,3685.0,556.0,4858.0,683.0,35436.0,8596.48,10013.0,35436.0,33195.0
C11,2006,alive,7677.0,28939.0,17990.0,5476.0,1043.0,2913.0,3956.0,5651.0,3186.0,5979.0,1786.0,4058.0,4105.0,23641.0,17874.3227,17774.0,23641.0,19685.0,6438.0,26638.0,16129.0,5265.0,1080.0,1482.0,2562.0,4191.0,2734.0,5845.0,129.0,2651.0,3254.0,20320.0,15230.165,16927.0,20320.0,17758.0,9412.0,33341.0,20203.0,6345.0,1337.0,1494.0,2831.0,4682.0,4029.0,9256.0,258.0,3819.0,4168.0,24885.0,18141.3672,22379.0,24885.0,22054.0
C12,2002,alive,9.812,21.369,8.342,0.0,3.673,1.735,5.408,13.582,2.9810000000000003,1.3030000000000002,1.13,5.033,3.832,21.924,28.7775,1.877,21.924,16.516,9.019,21.865,8.817,0.0,2.742,2.588,5.33,13.172,2.476,3.37,1.781,3.903,2.849,21.989,58.41,3.491,21.989,16.659000000000002,8.161,19.003,6.979,0.0,1.939,2.213,4.152,10.979,2.4930000000000003,2.802,1.538,2.122,2.628,17.958,78.81,2.802,17.958,13.806
C13,2007,alive,1364.2879999999998,3278.081,2716.446,757.533,68.719,202.853,271.572,1451.898,287.503,681.523,114.487,1049.956,644.2959999999998,4168.344,1510.7745,1567.267,4168.344,3896.772,1379.5739999999994,3231.699,2713.101,657.5830000000002,73.37,189.93,263.3,1515.148,214.792,757.7,106.202,887.424,669.297,4228.249,1732.8058,1545.566,4228.249,3964.949,1727.914,3831.819,2745.0640000000008,953.463,80.563,169.12099999999995,249.68400000000003,1632.241,241.47,937.34,60.666,690.438,996.241,4377.305,1354.785,2261.475,4377.305,4127.621
C14,2010,alive,1515.6,12075.8,2652.6,4686.0,323.5,926.8,1250.3,1250.3,259.7,790.9,411.7,1243.3,408.0,3902.9,4120.1455,8634.1,3902.9,2652.6,1345.3,11589.1,2224.9,4417.0,282.1,919.8,1201.9,1201.9,317.0,985.6,392.8,932.8,355.0,3426.8,3981.5036,8461.0,3426.8,2224.9,1495.7220000000002,10811.048,2302.499,4155.432,273.91200000000003,809.505,1083.417,1083.417,243.345,1003.5,395.447,688.297,359.1690000000001,3385.916,5734.665,7955.394,3385.916,2302.499
C15,2004,alive,57.944,78.473,39.172,0.0,2.481,6.145,8.626,40.999,15.619000000000002,11.001,4.709,57.658,10.994000000000002,80.171,73.968,18.543,80.171,71.545,51.862,71.95,33.175,0.0,2.519,0.918,3.437,27.613000000000003,13.925999999999998,7.945,1.3969999999999998,54.182,11.652,60.788,48.24,15.585,60.788,57.351000000000006,52.573,73.363,39.162,0.0,2.802,3.107,5.909,28.57800000000001,16.224,11.021,2.685,53.807,12.184,67.74,42.4192,17.057000000000002,67.74,61.831
C16,2010,alive,219.067,1075.656,498.12,478.225,88.92399999999998,4.089,93.013,161.545,42.14,140.247,-39.512,-16.133,144.96,659.665,522.689,626.945,659.665,566.6519999999998,198.248,1080.62,379.437,475.206,82.99799999999998,-5.047,77.95100000000002,126.816,34.528,112.459,-21.19,25.927,105.059,506.253,269.0988,596.9730000000002,506.253,428.302,225.238,1111.058,446.235,579.044,67.672,102.254,169.926,229.713,39.087,142.15200000000004,-39.464,48.419,157.871,675.948,196.2125,727.6489999999999,675.948,506.022
